CustomerID,Recency,Frequency,Monetary,Recency_scaled,Frequency_scaled,Monetary_scaled,Cluster,Hierarchical_Cluster,Segment,Hierarchical_Segment
12346.0,325,1,77183.6,2.3438108969635936,-0.4510003419781973,10.066906417731003,2,0,Loyal Customers,At-Risk Customers
12747.0,2,11,4196.01,-0.9017421720854286,0.9382196333121796,0.3116368753724152,3,2,New Customers,Loyal Customers
12748.0,0,209,33719.73,-0.9218384759185495,28.444775144061644,4.257675462111929,2,0,Loyal Customers,At-Risk Customers
12749.0,3,5,4090.88,-0.8916940201688682,0.10468764813795346,0.2975855621698809,1,2,Occasional Buyers,Loyal Customers
12820.0,3,4,942.34,-0.8916940201688682,-0.03423434939108423,-0.12323743479299595,1,2,Occasional Buyers,Loyal Customers
12821.0,214,1,92.72,1.2284660342253846,-0.4510003419781973,-0.23679471362051582,0,1,At-Risk Customers,Occasional Buyers
12822.0,70,2,948.88,-0.21846784175931874,-0.3120783444491596,-0.12236332094971075,1,2,Occasional Buyers,Loyal Customers
12823.0,74,5,1759.5,-0.17827523409307697,0.10468764813795346,-0.014018647609671477,1,2,Occasional Buyers,Loyal Customers
12824.0,59,1,397.12,-0.3289975128414836,-0.4510003419781973,-0.19610965950797488,1,2,Occasional Buyers,Loyal Customers
12826.0,2,7,1474.72,-0.9017421720854286,0.38253164319602884,-0.052081360192356804,1,2,Occasional Buyers,Loyal Customers
12827.0,5,3,430.15000000000003,-0.8715977163357473,-0.17315634692012194,-0.19169498362973167,1,2,Occasional Buyers,Loyal Customers
12828.0,2,6,1018.71,-0.9017421720854286,0.24360964566699117,-0.11303008399610123,1,2,Occasional Buyers,Loyal Customers
12829.0,336,2,293.0,2.454340568045758,-0.3120783444491596,-0.2100259795940385,0,1,At-Risk Customers,Occasional Buyers
12830.0,37,6,6814.64,-0.5500568550058132,0.24360964566699117,0.6616339294155268,1,2,Occasional Buyers,Loyal Customers
12831.0,262,1,215.05,1.7107773262202857,-0.4510003419781973,-0.22044450774145166,0,1,At-Risk Customers,Occasional Buyers
12832.0,32,2,383.03,-0.6002976145886154,-0.3120783444491596,-0.19799288031101595,1,2,Occasional Buyers,Loyal Customers
12833.0,145,1,417.38,0.5351435519827142,-0.4510003419781973,-0.19340177778550416,0,2,At-Risk Customers,Loyal Customers
12834.0,282,1,312.38,1.9117403645514945,-0.4510003419781973,-0.2074357156364135,0,1,At-Risk Customers,Occasional Buyers
12836.0,59,4,2612.86,-0.3289975128414836,-0.03423434939108423,0.10003850671844271,1,2,Occasional Buyers,Loyal Customers
12837.0,173,1,134.1,0.8164918056464066,-0.4510003419781973,-0.23126400554174795,0,2,At-Risk Customers,Loyal Customers
12838.0,33,2,683.13,-0.590249462672055,-0.3120783444491596,-0.15788254936760746,1,2,Occasional Buyers,Loyal Customers
12839.0,2,14,5591.42,-0.9017421720854286,1.354985625899293,0.49814256314896177,3,2,New Customers,Loyal Customers
12840.0,143,4,2726.77,0.5150472481495934,-0.03423434939108423,0.1152633244384149,1,2,Occasional Buyers,Loyal Customers
12841.0,4,25,4022.35,-0.8816458682523077,2.8831275987187075,0.28842607873252074,3,0,New Customers,At-Risk Customers
12842.0,70,2,1118.99,-0.21846784175931874,-0.3120783444491596,-0.09962700506572801,1,2,Occasional Buyers,Loyal Customers
12843.0,65,8,1702.26,-0.26870860134212093,0.5214536407250665,-0.02166914858668148,1,2,Occasional Buyers,Loyal Customers
12844.0,29,2,325.96000000000004,-0.6304420703382968,-0.3120783444491596,-0.20562065967436258,1,2,Occasional Buyers,Loyal Customers
12845.0,267,4,354.09,1.761018085803088,-0.03423434939108423,-0.20186090089582848,0,1,At-Risk Customers,Occasional Buyers
12847.0,22,1,871.54,-0.7007791337542199,-0.4510003419781973,-0.13270031860103768,1,2,Occasional Buyers,Loyal Customers
12849.0,31,2,1050.8899999999999,-0.6103457665051759,-0.3120783444491596,-0.10872901618617495,1,2,Occasional Buyers,Loyal Customers
12851.0,96,1,135.18,0.04278410807125269,-0.4510003419781973,-0.23111965646671,1,2,Occasional Buyers,Loyal Customers
12852.0,294,1,311.55,2.03231818755022,-0.4510003419781973,-0.2075466505737112,0,1,At-Risk Customers,Occasional Buyers
12853.0,134,6,1957.1000000000001,0.4246138809005494,0.24360964566699117,0.012391886860230295,1,2,Occasional Buyers,Loyal Customers
12854.0,78,3,1324.5,-0.13808262642683522,-0.17315634692012194,-0.07215924727772442,1,2,Occasional Buyers,Loyal Customers
12855.0,372,1,38.1,2.816074037041934,-0.4510003419781973,-0.24409503443400793,0,1,At-Risk Customers,Occasional Buyers
12856.0,7,6,2179.93,-0.8515014125026265,0.24360964566699117,0.04217457611087908,1,2,Occasional Buyers,Loyal Customers
12857.0,210,2,1106.4,1.1882734265591428,-0.3120783444491596,-0.10130974104232751,0,1,At-Risk Customers,Occasional Buyers
12863.0,52,1,521.2,-0.39933457625740665,-0.4510003419781973,-0.17952555466472886,1,2,Occasional Buyers,Loyal Customers
12864.0,138,1,147.12,0.4648064885667912,-0.4510003419781973,-0.2295237972482352,1,2,Occasional Buyers,Loyal Customers
12867.0,26,7,4036.82,-0.6605865260879781,0.38253164319602884,0.29036008902492705,1,2,Occasional Buyers,Loyal Customers
12868.0,185,6,1607.0600000000002,0.9370696286451319,0.24360964566699117,-0.034393252238172585,0,1,At-Risk Customers,Occasional Buyers
12871.0,84,2,380.64,-0.07779371492747258,-0.3120783444491596,-0.19831231946781286,1,2,Occasional Buyers,Loyal Customers
12872.0,326,2,599.97,2.3538590488801536,-0.3120783444491596,-0.16899742814552765,0,1,At-Risk Customers,Occasional Buyers
12873.0,282,1,374.0,1.9117403645514945,-0.4510003419781973,-0.19919979896619414,0,1,At-Risk Customers,Occasional Buyers
12875.0,143,2,343.2300000000001,0.5150472481495934,-0.3120783444491596,-0.2033124110392654,1,2,Occasional Buyers,Loyal Customers
12877.0,3,12,1535.77,-0.8916940201688682,1.0771416308412174,-0.043921627756185244,3,2,New Customers,Loyal Customers
12878.0,236,2,854.99,1.4495253763897142,-0.3120783444491596,-0.1349123345194429,0,1,At-Risk Customers,Occasional Buyers
12879.0,44,3,573.22,-0.4797197915898902,-0.17315634692012194,-0.1725727408837355,1,2,Occasional Buyers,Loyal Customers
12881.0,275,1,298.0,1.8414033011355715,-0.4510003419781973,-0.20935769683923328,0,1,At-Risk Customers,Occasional Buyers
12882.0,9,2,1463.04,-0.8314051086695056,-0.3120783444491596,-0.05364246870758178,1,2,Occasional Buyers,Loyal Customers
12883.0,24,4,703.47,-0.680682829921099,-0.03423434939108423,-0.15516397512105987,1,2,Occasional Buyers,Loyal Customers
12884.0,88,1,309.05,-0.03760110726123082,-0.4510003419781973,-0.20788079195111378,1,2,Occasional Buyers,Loyal Customers
12885.0,63,3,1175.22,-0.2888049051752418,-0.17315634692012194,-0.09211149720518866,1,2,Occasional Buyers,Loyal Customers
12886.0,67,2,1378.4,-0.24861229750900005,-0.3120783444491596,-0.06495515918092429,1,2,Occasional Buyers,Loyal Customers
12888.0,214,2,354.12,1.2284660342253846,-0.3120783444491596,-0.20185689119929967,0,1,At-Risk Customers,Occasional Buyers
12890.0,24,1,380.46999999999997,-0.680682829921099,-0.4510003419781973,-0.1983350410814762,1,2,Occasional Buyers,Loyal Customers
12891.0,185,3,331.0,0.9370696286451319,-0.17315634692012194,-0.20494703065751893,0,2,At-Risk Customers,Loyal Customers
12893.0,30,1,188.14,-0.6203939184217363,-0.4510003419781973,-0.2240412055278133,1,2,Occasional Buyers,Loyal Customers
12895.0,42,2,372.8,-0.49981609542301103,-0.3120783444491596,-0.1993601868273474,1,2,Occasional Buyers,Loyal Customers
12897.0,204,2,216.5,1.1279845150597803,-0.3120783444491596,-0.22025070574255814,0,2,At-Risk Customers,Loyal Customers
12901.0,8,28,17654.54,-0.841453260586066,3.2998935913058207,2.110457576178118,3,0,New Customers,At-Risk Customers
12902.0,264,1,138.68,1.7308736300534067,-0.4510003419781973,-0.23065185853834635,0,1,At-Risk Customers,Occasional Buyers
12904.0,18,2,509.58,-0.7409717414204616,-0.3120783444491596,-0.18107864378689617,1,2,Occasional Buyers,Loyal Customers
12906.0,11,5,2919.81,-0.8113088048363847,0.10468764813795346,0.1410643850359343,1,2,Occasional Buyers,Loyal Customers
12908.0,176,2,750.0,0.8466362613960878,-0.3120783444491596,-0.14894493580484264,0,2,At-Risk Customers,Loyal Customers
12909.0,39,5,2178.67,-0.5299605511726924,0.10468764813795346,0.0420061688566682,1,2,Occasional Buyers,Loyal Customers
12910.0,23,8,3075.04,-0.6907309818376594,0.5214536407250665,0.16181189144161673,1,2,Occasional Buyers,Loyal Customers
12912.0,2,5,1662.3,-0.9017421720854286,0.10468764813795346,-0.027010064363084695,1,2,Occasional Buyers,Loyal Customers
12913.0,4,5,2483.63,-0.8816458682523077,0.10468764813795346,0.08276607063774735,1,2,Occasional Buyers,Loyal Customers
12915.0,148,2,363.65,0.5652880077323955,-0.3120783444491596,-0.2005831442686409,0,2,At-Risk Customers,Loyal Customers
12916.0,138,4,3006.15,0.4648064885667912,-0.03423434939108423,0.15260429164591063,1,2,Occasional Buyers,Loyal Customers
12917.0,128,1,594.0,0.36432496940118675,-0.4510003419781973,-0.16979535775476506,1,2,Occasional Buyers,Loyal Customers
12919.0,8,6,1335.19,-0.841453260586066,0.24360964566699117,-0.07073045874795089,1,2,Occasional Buyers,Loyal Customers
12920.0,17,1,164.23,-0.751019893337022,-0.4510003419781973,-0.22723693366129177,1,2,Occasional Buyers,Loyal Customers
12921.0,9,37,16587.09,-0.8314051086695056,4.5501915690671595,1.9677858908547543,3,0,New Customers,At-Risk Customers
12922.0,161,1,405.38,0.6959139826476812,-0.4510003419781973,-0.19500565639703665,0,2,At-Risk Customers,Loyal Customers
12923.0,64,1,176.97,-0.2787567532586814,-0.4510003419781973,-0.2255341492020481,1,2,Occasional Buyers,Loyal Customers
12924.0,88,4,933.7,-0.03760110726123082,-0.03423434939108423,-0.12439222739329935,1,2,Occasional Buyers,Loyal Customers
12925.0,4,2,694.05,-0.8816458682523077,-0.3120783444491596,-0.1564230198311129,1,2,Occasional Buyers,Loyal Customers
12928.0,35,5,2062.7000000000003,-0.5701531588389341,0.10468764813795346,0.02650601864171627,1,2,Occasional Buyers,Loyal Customers
12929.0,311,1,117.85,2.203136770131747,-0.4510003419781973,-0.2334359244948649,0,1,At-Risk Customers,Occasional Buyers
12930.0,78,2,415.8,-0.13808262642683522,-0.3120783444491596,-0.19361295513602264,1,2,Occasional Buyers,Loyal Customers
12931.0,21,15,42055.96,-0.7108272856707802,1.4939076234283306,5.371867211929889,3,0,New Customers,At-Risk Customers
12933.0,24,3,607.53,-0.680682829921099,-0.17315634692012194,-0.16798698462026218,1,2,Occasional Buyers,Loyal Customers
12935.0,2,7,2160.7,-0.9017421720854286,0.38253164319602884,0.039604360635898256,1,2,Occasional Buyers,Loyal Customers
